"Id","Name","Alias","Description"
1,GetUserLookupQuery,,
2,GetUserQuery,,
3,GetUsersQuery,,
4,CreateUserCommand,,
5,DeleteUserCommand,,
6,UpdateUserCommand,,
7,UserChangePasswordCommand,,
8,GetUserGroupLookupByUserIdQuery,,
9,GetUserGroupLookupQuery,,
10,GetUserGroupQuery,,
11,GetUserGroupsQuery,,
12,GetUsersInGroupLookupByGroupIdQuery,,
13,CreateUserGroupClaimsCommand,,
14,CreateUserGroupCommand,,
15,DeleteUserGroupCommand,,
16,UpdateUserGroupByGroupIdCommand,,
17,UpdateUserGroupCommand,,
18,GetUserClaimLookupByUserIdQuery,,
19,GetUserClaimLookupQuery,,
20,GetUserClaimsQuery,,
21,CreateUserClaimCommand,,
22,DeleteUserClaimCommand,,
23,UpdateUserClaimCommand,,
24,GetTranslateListDtoQuery,,
25,GetTranslateQuery,,
26,GetTranslatesQuery,,
27,GetTranslateWordListQuery,,
28,CreateTranslateCommand,,
29,DeleteTranslateCommand,,
30,UpdateTranslateCommand,,
31,GetOperationClaimLookupQuery,,
32,GetOperationClaimQuery,,
33,GetOperationClaimsQuery,,
34,CreateOperationClaimCommand,,
35,DeleteOperationClaimCommand,,
36,UpdateOperationClaimCommand,,
37,GetLanguageQuery,,
38,GetLanguagesLookUpQuery,,
39,GetLanguagesQuery,,
40,CreateLanguageCommand,,
41,DeleteLanguageCommand,,
42,UpdateLanguageCommand,,
43,GetGroupQuery,,
44,GetGroupsQuery,,
45,SearchGroupsByNameQuery,,
46,CreateGroupCommand,,
47,DeleteGroupCommand,,
48,UpdateGroupCommand,,
49,GetGroupClaimQuery,,
50,GetGroupClaimsLookupByGroupIdQuery,,
51,GetGroupClaimsQuery,,
52,CreateGroupClaimCommand,,
53,DeleteGroupClaimCommand,,
54,UpdateGroupClaimCommand,,
55,ForgotPasswordCommand,,
56,RegisterUserCommand,,
57,SubscriptionManagement,subscription.management,Manage subscription tiers and user subscriptions
58,SubscriptionView,subscription.view,View subscription information and usage
59,PlantAnalysisCreate,plant.analysis.create,Create plant analysis requests
60,PlantAnalysisView,plant.analysis.view,View plant analysis results
61,AdminPanel,admin.panel,Access admin panel and system management
62,GetLinkStatisticsQuery,,
63,SendSponsorshipLinkCommand,,
64,GetSponsorDisplayInfoForAnalysisQuery,,
65,GetReferralCreditBreakdownQuery,,
66,GetReferralRewardsQuery,,
67,GetReferralStatsQuery,,
68,GetUserReferralCodesQuery,,
69,DisableReferralCodeCommand,,
70,GenerateReferralLinkCommand,,
71,GetCodeAnalysisStatisticsQuery,,
72,GetPackageDistributionStatisticsQuery,,
73,GetAllUsersQuery,,
74,GetUserByIdQuery,,
75,SearchUsersQuery,,
76,DeactivateUserCommand,,
77,ReactivateUserCommand,,
78,GetAllSubscriptionsQuery,,
79,GetSubscriptionByIdQuery,,
80,AssignSubscriptionCommand,,
81,CancelSubscriptionCommand,,
82,ExtendSubscriptionCommand,,
83,GetAllPurchasesQuery,,
84,GetPurchaseByIdQuery,,
85,ApprovePurchaseCommand,,
86,RefundPurchaseCommand,,
87,GetAllCodesQuery,,
88,GetCodeByIdQuery,,
89,DeactivateCodeCommand,,
90,GetSponsorshipStatisticsQuery,,
91,GetSubscriptionStatisticsQuery,,
92,GetUserStatisticsQuery,,
93,GetAllAuditLogsQuery,,
94,GetAuditLogsByAdminQuery,,
95,GetAuditLogsByTargetQuery,,
96,GetUserAnalysesQuery,,
97,CreatePlantAnalysisOnBehalfOfCommand,,
98,BulkDeactivateUsersCommand,,
99,BulkCancelSubscriptionsCommand,,
100,ExportStatisticsQuery,,
102,BulkSendCodesCommand,,
103,CreatePurchaseOnBehalfOfCommand,,
107,Admin,,
108,admin.users.manage,,
109,admin.subscriptions.manage,,
110,admin.sponsorship.manage,,
111,admin.analytics.view,,
112,admin.audit.view,,
113,admin.plantanalysis.manage,,
114,GetActivityLogsQuery,,
115,GetAllOBOAnalysesQuery,,
116,GetSponsorImpactAnalyticsQuery,,
117,GetSponsorMessagingAnalyticsQuery,,
118,GetSponsorROIAnalyticsQuery,,
119,GetSponsorTemporalAnalyticsQuery,,
120,GetPackageDistributionStatisticsQueryHandler,Package Distribution Statistics,View package distribution analytics for sponsors
121,GetCodeAnalysisStatisticsQueryHandler,Code Analysis Statistics,View code-level analysis statistics for sponsors
122,GetSponsorMessagingAnalyticsQueryHandler,Messaging Analytics,View messaging analytics for sponsors
123,GetSponsorImpactAnalyticsQueryHandler,Impact Analytics,View impact analytics for sponsors
124,GetSponsorTemporalAnalyticsQueryHandler,Temporal Analytics,View temporal analytics for sponsors
125,GetSponsorROIAnalyticsQueryHandler,ROI Analytics,View ROI analytics for sponsors
101,GetSubscriptionDetailsQuery,Get Subscription Details,Query detailed subscription information with user and usage data
126,GetPackageDistributionStatisticsQuery,Package Distribution Query,View package distribution analytics
127,GetCodeAnalysisStatisticsQuery,Code Analysis Query,View code analysis statistics
128,GetSponsorMessagingAnalyticsQuery,Messaging Analytics Query,View messaging analytics
129,GetSponsorImpactAnalyticsQuery,Impact Analytics Query,View impact analytics
