aşağıdaki istekle converstaion'ı çekiyorum

Ama burada sadece  mesajlar görünüyor, daha sonradan attachment, voicemessage vb de eklemiştik, bunlaırn da converstaionda görünmesi gerekiyor değil mi?

curl --location 'https://ziraai-api-sit.up.railway.app/api/v1/sponsorship/messages/conversation?plantAnalysisId=60&otherUserId=159' \
--header 'Content-Type: application/json' \
--header 'Authorization: Bearer eyJhbGciOiJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGRzaWctbW9yZSNobWFjLXNoYTI1NiIsInR5cCI6IkpXVCJ9.eyJodHRwOi8vc2NoZW1hcy54bWxzb2FwLm9yZy93cy8yMDA1LzA1L2lkZW50aXR5L2NsYWltcy9uYW1laWRlbnRpZmllciI6IjE2NSIsImh0dHA6Ly9zY2hlbWFzLnhtbHNvYXAub3JnL3dzLzIwMDUvMDUvaWRlbnRpdHkvY2xhaW1zL25hbWUiOiJVc2VyIDExMTMiLCJodHRwOi8vc2NoZW1hcy5taWNyb3NvZnQuY29tL3dzLzIwMDgvMDYvaWRlbnRpdHkvY2xhaW1zL3JvbGUiOiJGYXJtZXIiLCJuYmYiOjE3NjA5NjMxMzEsImV4cCI6MTc2MDk2NjczMSwiaXNzIjoiWmlyYUFJX1N0YWdpbmciLCJhdWQiOiJaaXJhQUlfU3RhZ2luZ19Vc2VycyJ9.ECA5X0rXDIuPyCr8xI32hslmA4UKVbsYy1xhOuIhVjs'

{
    "data": [
        {
            "id": 6,
            "plantAnalysisId": 60,
            "fromUserId": 159,
            "toUserId": 165,
            "message": "mesaj kısmı",
            "messageType": "Information",
            "messageStatus": "Sent",
            "isRead": false,
            "sentDate": "2025-10-18T16:47:59.843476",
            "senderRole": "Sponsor",
            "senderName": "User 1114",
            "senderCompany": "dort tarim",
            "senderAvatarUrl": "https://iili.io/K84ne5B.jpg",
            "senderAvatarThumbnailUrl": "https://iili.io/K84n4qJ.jpg",
            "receiverRole": "",
            "receiverName": "User 1113",
            "receiverCompany": "",
            "receiverAvatarUrl": "https://iili.io/K8UtwF4.jpg",
            "receiverAvatarThumbnailUrl": "https://iili.io/K8Utk9S.jpg",
            "priority": "Normal",
            "category": "General",
            "hasAttachments": false,
            "attachmentCount": 0,
            "isVoiceMessage": false,
            "isEdited": false,
            "isForwarded": false,
            "isActive": true
        },
        {
            "id": 7,
            "plantAnalysisId": 60,
            "fromUserId": 159,
            "toUserId": 165,
            "message": "2. mesaj kısmı",
            "messageType": "Information",
            "messageStatus": "Sent",
            "isRead": false,
            "sentDate": "2025-10-18T16:48:51.725195",
            "senderRole": "Sponsor",
            "senderName": "User 1114",
            "senderCompany": "dort tarim",
            "senderAvatarUrl": "https://iili.io/K84ne5B.jpg",
            "senderAvatarThumbnailUrl": "https://iili.io/K84n4qJ.jpg",
            "receiverRole": "",
            "receiverName": "User 1113",
            "receiverCompany": "",
            "receiverAvatarUrl": "https://iili.io/K8UtwF4.jpg",
            "receiverAvatarThumbnailUrl": "https://iili.io/K8Utk9S.jpg",
            "priority": "Normal",
            "category": "General",
            "hasAttachments": false,
            "attachmentCount": 0,
            "isVoiceMessage": false,
            "isEdited": false,
            "isForwarded": false,
            "isActive": true
        },
        {
            "id": 8,
            "plantAnalysisId": 60,
            "fromUserId": 159,
            "toUserId": 165,
            "message": "pp",
            "messageType": "Information",
            "messageStatus": "Sent",
            "isRead": false,
            "sentDate": "2025-10-18T18:48:39.09951",
            "senderRole": "Sponsor",
            "senderName": "User 1114",
            "senderCompany": "dort tarim",
            "senderAvatarUrl": "https://iili.io/K84ne5B.jpg",
